optimizer,epoch,train_loss,test_loss,train_acc,test_acc
SGD,1,0.3264584783080648,0.31240003865809435,0.9125833333333333,0.9163
SGD,2,0.26426423923410813,0.25827507177899756,0.92895,0.9326
SGD,3,0.22720278326352342,0.22762379635697397,0.94085,0.9412
SGD,4,0.2001700193873398,0.20419051240720903,0.9485666666666667,0.9478
SGD,5,0.18190887879583048,0.1870502197369154,0.9529833333333333,0.9491
SGD,6,0.16369711599181727,0.17115999743349397,0.9591333333333333,0.9533
SGD,7,0.15091245982151633,0.1601790761710322,0.96345,0.9586
SGD,8,0.1398005715838199,0.14985328834399494,0.9667,0.9624
SGD,9,0.13321809171766608,0.1429392626500929,0.9689,0.963
SGD,10,0.12544056859939348,0.13787933518094966,0.9713,0.965
SGD,11,0.11655863695015428,0.13098752124202004,0.97385,0.967
SGD,12,0.1110175051085251,0.12634893834614816,0.9755166666666667,0.9689
SGD,13,0.10693181625618163,0.12225964147362497,0.9766833333333333,0.9701
SGD,14,0.10127558660940052,0.11774009088184582,0.9783833333333334,0.9713
SGD,15,0.09684211030442529,0.11615359136223846,0.9800166666666666,0.9714
SGD,16,0.09437558871965418,0.11568365747002031,0.9804333333333334,0.9714
SGD,17,0.09106503709439429,0.11205324614542951,0.9818833333333333,0.9722
SGD,18,0.0885316405418665,0.1097926798949538,0.9821,0.9719
SGD,19,0.08539200194262432,0.1090712309935478,0.9833,0.9736
SGD,20,0.08336850723715458,0.1072114884762383,0.9844833333333334,0.9741
SGD,21,0.08019050490989876,0.10507020753874771,0.9853666666666666,0.9756
SGD,22,0.07804986334632474,0.10402841749200545,0.9861333333333333,0.9752
SGD,23,0.07633556653450595,0.10164474434021133,0.9866166666666667,0.9751
SGD,24,0.07421000078165803,0.10238609494151091,0.98725,0.9767
SGD,25,0.07212025737471676,0.10043604267382882,0.9880333333333333,0.9769
SGD,26,0.07095039089974196,0.09939224281074088,0.9884333333333334,0.9767
SGD,27,0.07078119075487407,0.10055323259753719,0.9885333333333334,0.9768
SGD,28,0.06918162413246041,0.09787520324007641,0.9887,0.9768
SGD,29,0.06696182088002087,0.09788664097707868,0.9897333333333334,0.9774
SGD,30,0.06590581725051882,0.0966293763481833,0.9901833333333333,0.9771
NG,1,0.3516246416839969,0.33542467586500796,0.9051666666666667,0.9097
NG,2,0.2888256396807936,0.2796607694505142,0.9218666666666666,0.9264
NG,3,0.25333228266998714,0.25089745505587807,0.9328666666666666,0.9348
NG,4,0.2274603946095455,0.22929181617650507,0.9407166666666666,0.9419
NG,5,0.20802953978073266,0.21077138394436926,0.94555,0.9432
NG,6,0.1897045774287753,0.19457095950691364,0.9515,0.9478
NG,7,0.1754975724199154,0.18203414602753604,0.95635,0.9534
NG,8,0.16291140089660341,0.17042069882787308,0.9598666666666666,0.9543
NG,9,0.1543615644054993,0.16167941579882392,0.9627166666666667,0.9581
NG,10,0.14605176766439407,0.15581980403686704,0.9649666666666666,0.96
NG,11,0.13686179769015158,0.14790922994069364,0.96785,0.9616
NG,12,0.13016037887410342,0.1422649513377346,0.9701666666666666,0.9637
NG,13,0.12535634233158446,0.13711942454024068,0.9712333333333333,0.9657
NG,14,0.1192014065266971,0.13232138344107872,0.9730833333333333,0.9655
NG,15,0.11413724129456491,0.12932019043993043,0.9748,0.9669
NG,16,0.11071417713554074,0.12803608219945106,0.9758,0.9683
NG,17,0.10706626308201443,0.12396424070811095,0.97635,0.9696
NG,18,0.10407398705124025,0.12099319552135664,0.9772333333333333,0.9696
NG,19,0.10036632781632474,0.1196379826096698,0.9786,0.9699
NG,20,0.09757052349150654,0.11693292919165046,0.9797166666666667,0.9717
NG,21,0.09415986690299552,0.11455542561164202,0.98065,0.9717
NG,22,0.09191426904384034,0.11354925311637971,0.9814,0.9718
NG,23,0.08934099964382657,0.11015190820815592,0.9822166666666666,0.973
NG,24,0.08692607426655259,0.11043406999713787,0.9829666666666667,0.974
NG,25,0.08471022290865664,0.10812039047622561,0.9836166666666667,0.975
NG,26,0.08319350065060478,0.10650086759648102,0.98445,0.975
NG,27,0.0825797677997747,0.10748067690823748,0.9844166666666667,0.9745
NG,28,0.08067979233073078,0.10437037226851326,0.98475,0.9752
NG,29,0.0783924154684745,0.10456445508458541,0.98535,0.9756
NG,30,0.07691159391197,0.10279202782208385,0.98635,0.976
