tau_i,trace,determinant,eig_real_max,eig_imag_abs,eq_v_e,eq_v_i,active_equilibrium,amp_v_e,amp_v_i,std_v_e
0.8,-1.5,1.25,-0.7499999999999998,0.8291561975888496,0.19999999999999996,0.3,1,0.0,0.0,0.0
0.9,-1.2222222222222223,1.1111111111111112,-0.611111111111111,0.858868046318906,0.19999999999999996,0.3,1,0.0,0.0,5.551115123125783e-17
1.0,-1.0,1.0,-0.5,0.8660254037844388,0.19999999999999996,0.3,1,0.0,0.0,2.7755575615628914e-17
1.1,-0.8181818181818181,0.9090909090909091,-0.40909090909090884,0.8612406964316551,0.19999999999999996,0.3,1,0.0,0.0,2.7755575615628914e-17
1.2000000000000002,-0.6666666666666665,0.8333333333333333,-0.33333333333333315,0.8498365855987975,0.19999999999999996,0.3,1,0.0,0.0,0.0
1.3,-0.5384615384615383,0.7692307692307692,-0.269230769230769,0.834712862085027,0.19999999999999996,0.3,1,0.0,0.0,0.0
1.4000000000000001,-0.4285714285714284,0.7142857142857142,-0.21428571428571425,0.8175373673042569,0.19999999999999996,0.3,1,3.6071146070071336e-13,3.0125901773203623e-13,3.1107124233115724e-14
1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.19999999999999996,0.3,1,1.846522101889292e-10,1.642148639291463e-10,1.3864709404535078e-11
1.6,-0.25,0.625,-0.12500000000000006,0.7806247497997999,0.19999999999999996,0.3,1,3.34966077375487e-08,3.6219156118733054e-08,3.0828118760553e-09
1.7000000000000002,-0.17647058823529393,0.588235294117647,-0.08823529411764698,0.7618725792346247,0.19999999999999996,0.3,1,3.7361354311982176e-06,3.359799906677008e-06,4.2142042689413987e-07
1.8,-0.11111111111111116,0.5555555555555556,-0.05555555555555559,0.7432826755699808,0.19999999999999996,0.3,1,0.0002782454207523877,0.00022874026464358987,3.5189459337825085e-05
1.9000000000000001,-0.05263157894736836,0.5263157894736842,-0.02631578947368412,0.7249988059976795,0.19999999999999996,0.3,1,0.012604118655553359,0.010325463572848581,0.0020247936628377656
2.0,0.0,0.5,-1.3877787807814457e-17,0.7071067811865475,0.19999999999999996,0.3,1,0.32678973330863226,0.26682857731578763,0.1154526058334003
2.1,0.04761904761904767,0.47619047619047605,0.02380952380952383,0.6896546837123922,0.19999999999999996,0.3,1,0.3674009591306087,0.299033460040134,0.13144915390575357
2.2,0.09090909090909094,0.4545454545454545,0.045454545454545595,0.6726658448613065,0.19999999999999996,0.3,1,0.3985347726912086,0.3233993279949045,0.14356402296940785
2.3,0.13043478260869557,0.4347826086956521,0.06521739130434784,0.6561473162081118,0.19999999999999996,0.3,1,0.42952637220510487,0.34754596391646375,0.15431585060448705
2.4000000000000004,0.16666666666666674,0.41666666666666674,0.08333333333333337,0.6400954789890506,0.19999999999999996,0.3,1,0.4614083087205759,0.37231736514030656,0.16664339929995342
2.5,0.19999999999999996,0.40000000000000013,0.09999999999999995,0.6244997998398396,0.19999999999999996,0.3,1,0.49466870801559115,0.39810673003025643,0.1783169685968718
2.6,0.23076923076923084,0.3846153846153846,0.11538461538461542,0.6093453660674946,0.19999999999999996,0.3,1,0.5296552334871566,0.42518924893787957,0.1918312769956469
2.7,0.2592592592592593,0.37037037037037046,0.1296296296296296,0.5946146058519378,0.19999999999999996,0.3,1,0.5669227107897499,0.45400240636552497,0.20643359920514884
2.8,0.2857142857142857,0.3571428571428571,0.14285714285714285,0.5802884574739972,0.19999999999999996,0.3,1,0.6073349497671022,0.4852293521260914,0.2201686857360105
2.9000000000000004,0.31034482758620696,0.3448275862068964,0.15517241379310348,0.566347162264029,0.19999999999999996,0.3,1,0.650599637409802,0.5186272919623202,0.23460339328653818
3.0,0.33333333333333337,0.33333333333333337,0.16666666666666669,0.5527707983925668,0.19999999999999996,0.3,1,0.6967986823134488,0.554253370676079,0.25114705000163956
3.1000000000000005,0.3548387096774195,0.32258064516129026,0.17741935483870974,0.5395396349573461,0.19999999999999996,0.3,1,0.746180744978313,0.5922931018701816,0.27194141460843957
3.2,0.375,0.3125,0.1875,0.5266343608235226,0.19999999999999996,0.3,1,0.7991014510070329,0.6330179623562505,0.29160438930699517
3.3,0.3939393939393939,0.3030303030303031,0.19696969696969696,0.5140362258693144,0.19999999999999996,0.3,1,0.8560347258910785,0.6767979319853621,0.3082266849886703
3.4000000000000004,0.41176470588235303,0.2941176470588235,0.20588235294117654,0.5017271208597641,0.19999999999999996,0.3,1,0.917502331835281,0.7240256952803795,0.33045696602119545
3.5,0.4285714285714286,0.2857142857142857,0.21428571428571427,0.48968961431436026,0.19999999999999996,0.3,1,0.9841376749859637,0.7751929154236469,0.35760502497592855
3.6000000000000005,0.44444444444444453,0.2777777777777778,0.22222222222222227,0.4779069592801459,0.19999999999999996,0.3,1,1.0566849984136468,0.8308624268666288,0.37471643297786666
3.7,0.45945945945945954,0.2702702702702703,0.22972972972972971,0.4663630791010108,0.19999999999999996,0.3,1,1.1359815282124126,0.891676430497114,0.40448659011197424
3.8,0.4736842105263158,0.26315789473684215,0.23684210526315794,0.4550425385734363,0.19999999999999996,0.3,1,1.2230141012228326,0.9583947757527138,0.43996722650920633
3.9000000000000004,0.4871794871794872,0.2564102564102564,0.2435897435897436,0.4439305049533534,0.19999999999999996,0.3,1,1.3189314529100078,1.0318879728594093,0.47247890400279957
4.0,0.5,0.25,0.24999999999999997,0.4330127018922193,0.19999999999999996,0.3,1,1.4250909659209923,1.113193437970184,0.4976418015127802
