h_e,tau_i,trace,determinant,eig_real_max,eig_imag_abs,eq_v_e,eq_v_i,active_equilibrium,amp_v_e,amp_v_i,std_v_e
0.05,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,-0.20000000000000004,-0.1,0,1.3166956622746213e-57,0.0,8.963723803033866e-59
0.06666666666666667,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,-0.1666666666666667,-0.06666666666666668,0,1.42563921294893e-57,0.0,9.70538334239874e-59
0.08333333333333333,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,-0.1333333333333334,-0.033333333333333354,0,1.5477408687913154e-57,0.0,1.0536619861377995e-58
0.09999999999999999,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,-0.10000000000000006,-2.7755575615628914e-17,0,1.6847651903796277e-57,0.0,1.1469446032380857e-58
0.11666666666666665,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,-0.06666666666666674,0.0333333333333333,0,1.838647364065278e-57,0.0,1.2517036103989198e-58
0.1333333333333333,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,-0.03333333333333344,0.0666666666666666,0,2.0116061959691078e-57,0.0,1.3694495134880984e-58
0.14999999999999997,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,-1.1102230246251565e-16,0.09999999999999992,0,2.206159027213603e-57,0.0,1.5018960532876787e-58
0.16666666666666663,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.033333333333333215,0.13333333333333325,1,3.4360618517137453e-11,2.8581748079403724e-11,3.4340002544678382e-12
0.1833333333333333,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.06666666666666654,0.16666666666666657,1,6.795226881184391e-11,5.652386891874528e-11,6.104425246750225e-12
0.19999999999999996,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.09999999999999987,0.1999999999999999,1,1.0083928136950249e-10,8.401487838760602e-11,8.271103722879992e-12
