true\pred,0,1,2,3,4,5,6,7,8,9
0,966,0,2,2,1,2,2,1,2,2
1,0,1123,2,2,0,0,4,0,4,0
2,4,2,1009,1,2,0,2,5,6,1
3,0,0,8,987,0,5,0,3,4,3
4,1,0,7,0,958,0,2,2,1,11
5,2,1,0,6,1,868,6,1,6,1
6,6,3,1,0,6,7,932,0,3,0
7,1,6,13,4,0,0,0,993,1,10
8,3,1,2,5,4,4,3,4,946,2
9,2,4,0,8,6,5,1,4,1,978
