true\pred,0,1,2,3,4,5,6,7,8,9
0,91,0,1,0,0,1,0,0,0,0
1,0,102,0,0,0,0,0,0,0,0
2,0,3,84,2,4,2,2,2,3,0
3,0,1,0,96,0,3,0,1,1,1
4,1,2,0,0,80,0,2,0,0,5
5,2,0,0,3,1,89,2,1,0,1
6,1,0,1,0,0,2,91,1,0,0
7,0,4,1,1,0,0,0,101,0,0
8,1,4,1,9,2,3,3,1,92,0
9,0,1,0,0,6,0,0,3,1,81
