true\pred,0,1,2,3,4,5,6,7,8,9
0,90,0,1,0,0,1,1,0,0,0
1,0,101,0,0,0,0,0,1,0,0
2,1,3,76,1,6,0,3,5,7,0
3,0,1,0,95,0,4,0,1,1,1
4,1,1,0,0,80,0,1,0,0,7
5,2,1,0,4,1,85,2,1,2,1
6,2,0,1,0,0,3,89,1,0,0
7,1,2,3,1,1,0,0,97,0,2
8,2,2,0,5,2,10,3,3,87,2
9,0,0,0,0,6,0,0,3,1,82
