true\pred,0,1,2,3,4,5,6,7,8,9
0,193,0,1,0,0,1,1,0,1,0
1,0,212,0,2,0,0,0,1,2,0
2,2,1,196,1,3,0,2,1,2,1
3,1,0,7,196,1,3,0,0,2,3
4,1,1,2,0,164,0,0,1,2,13
5,3,0,0,6,1,181,4,0,2,1
6,3,0,0,0,1,0,179,2,0,0
7,0,1,5,5,0,1,0,192,0,7
8,0,0,3,6,1,4,3,0,189,2
9,0,0,0,1,5,4,0,2,1,165
