true\pred,0,1,2,3,4,5,6,7,8,9
0,193,0,2,0,0,1,0,0,1,0
1,0,213,0,2,0,0,0,0,2,0
2,2,0,197,1,3,0,2,1,2,1
3,0,0,6,199,1,1,1,1,2,2
4,1,1,2,0,170,1,0,0,1,8
5,3,0,0,5,1,182,4,0,2,1
6,3,0,1,0,2,0,178,0,1,0
7,0,0,5,5,0,1,0,195,0,5
8,0,0,3,6,2,3,3,0,189,2
9,0,0,0,1,4,3,0,1,0,169
