true\pred,0,1,2,3,4,5,6,7,8,9
0,966,0,2,2,2,2,1,1,2,2
1,0,1121,2,2,0,0,4,1,5,0
2,4,2,1002,7,2,0,2,7,6,0
3,0,0,3,996,0,1,0,3,6,1
4,0,0,7,0,961,0,4,2,1,7
5,3,1,0,14,1,856,7,1,9,0
6,4,3,0,0,6,7,934,0,4,0
7,1,7,11,5,0,0,0,998,1,5
8,3,2,1,8,4,4,4,4,944,0
9,3,6,0,12,11,4,1,5,4,963
