true\pred,0,1,2,3,4,5,6,7,8,9
0,966,0,1,2,1,3,3,1,1,2
1,0,1121,2,2,0,0,4,1,5,0
2,4,2,1006,6,2,0,1,6,5,0
3,0,0,4,990,0,2,0,6,7,1
4,2,0,8,0,955,0,3,2,2,10
5,4,1,0,11,2,853,9,1,8,3
6,6,3,0,0,6,8,931,0,4,0
7,1,7,12,6,0,0,0,992,1,9
8,3,3,1,8,4,4,4,5,942,0
9,4,6,0,10,14,5,1,5,3,961
